state,district,season,crop,area,production
राजस्थान (Rajasthan),अलवारी (ALWAR),Kharif     ,Arhar/Tur,4395,4347
राजस्थान (Rajasthan),HANUMANGARH,Kharif     ,Rice,28345,86387
राजस्थान (Rajasthan),BARMER,Whole Year ,Coriander,4,3
राजस्थान (Rajasthan),BHILWARA,Kharif     ,Maize,158000,205000
राजस्थान (Rajasthan),TONK,Rabi       ,Linseed,10,6
राजस्थान (Rajasthan),PALI,Whole Year ,Sugarcane,1,61
राजस्थान (Rajasthan),अजमेर (AJMER),Kharif     ,Moth,1476,816
राजस्थान (Rajasthan),PRATAPGARH,Rabi       ,Wheat,44610,116629
राजस्थान (Rajasthan),BHARATPUR,Whole Year ,Mango,73,0
राजस्थान (Rajasthan),BARAN,Rabi       ,Masoor,546,426
राजस्थान (Rajasthan),BANSWARA,Kharif     ,Moth,20,3
राजस्थान (Rajasthan),JAIPUR,Rabi       ,other oilseeds,13607,6948
राजस्थान (Rajasthan),SIKAR,Kharif     ,Jowar,6,3
राजस्थान (Rajasthan),CHITTORGARH,Kharif     ,Urad,15722,5094
राजस्थान (Rajasthan),RAJSAMAND,Kharif     ,Sesamum,1684,124
राजस्थान (Rajasthan),GANGANAGAR,Kharif     ,Moth,1577,616
राजस्थान (Rajasthan),KOTA,Kharif     ,Cotton(lint),7,2
राजस्थान (Rajasthan),अजमेर (AJMER),Whole Year ,Garlic,8,10
राजस्थान (Rajasthan),CHITTORGARH,Whole Year ,Onion,762,3872
राजस्थान (Rajasthan),BIKANER,Kharif     ,Groundnut,46251,74423
राजस्थान (Rajasthan),JHUNJHUNU,Whole Year ,Onion,1593,31860
राजस्थान (Rajasthan),RAJSAMAND,Kharif     ,Cotton(lint),705,1229
राजस्थान (Rajasthan),JHALAWAR,Kharif     ,Jowar,10022,7022
राजस्थान (Rajasthan),KOTA,Kharif     ,Rice,4033,5957
राजस्थान (Rajasthan),BHILWARA,Kharif     ,Soyabean,1011,699
राजस्थान (Rajasthan),KOTA,Whole Year ,Potato,244,2450
राजस्थान (Rajasthan),JHALAWAR,Rabi       ,Gram,8762,7074
राजस्थान (Rajasthan),HANUMANGARH,Whole Year ,Dry chillies,51,60
राजस्थान (Rajasthan),NAGAUR,Rabi       ,Gram,26341,20797
राजस्थान (Rajasthan),UDAIPUR,Rabi       ,Wheat,79367,184713
राजस्थान (Rajasthan),BHILWARA,Kharif     ,Onion,200,600
राजस्थान (Rajasthan),अलवारी (ALWAR),Whole Year ,Guar seed,34662,39916
राजस्थान (Rajasthan),BARAN,Kharif     ,Other Kharif pulses,2,1
राजस्थान (Rajasthan),KARAULI,Kharif     ,Cotton(lint),114,200
राजस्थान (Rajasthan),JAIPUR,Whole Year ,Garlic,41,54
राजस्थान (Rajasthan),BIKANER,Whole Year ,Garlic,2,2
राजस्थान (Rajasthan),BHILWARA,Rabi       ,Rapeseed &Mustard,24904,22858
राजस्थान (Rajasthan),NAGAUR,Whole Year ,Guar seed,85348,14003
राजस्थान (Rajasthan),BARAN,Whole Year ,Sannhamp,9,8
राजस्थान (Rajasthan),KARAULI,Kharif     ,Rice,1832,2241
राजस्थान (Rajasthan),GANGANAGAR,Whole Year ,Sweet potato,1,
राजस्थान (Rajasthan),SAWAI MADHOPUR,Rabi       ,Peas & beans (Pulses),68,68
राजस्थान (Rajasthan),GANGANAGAR,Kharif     ,Castor seed,965,674
राजस्थान (Rajasthan),BARMER,Whole Year ,Guar seed,316994,22461
राजस्थान (Rajasthan),JALORE,Kharif     ,Maize,113,210
राजस्थान (Rajasthan),TONK,Whole Year ,Grapes,1,0
राजस्थान (Rajasthan),SIROHI,Whole Year ,Sannhamp,6,2
राजस्थान (Rajasthan),BARAN,Rabi       ,Linseed,2262,1801
राजस्थान (Rajasthan),SIKAR,Kharif     ,Moth,7435,2711
राजस्थान (Rajasthan),UDAIPUR,Whole Year ,Turmeric,58,107
राजस्थान (Rajasthan),DHOLPUR,Rabi       ,Gram,3778,5486
सिक्किम (Sikkim),SOUTH DISTRICT,Kharif     ,Rice,2400,3430
सिक्किम (Sikkim),SOUTH DISTRICT,Kharif     ,Other Kharif pulses,700,920
सिक्किम (Sikkim),WEST DISTRICT,Rabi       ,Wheat,1020,820
सिक्किम (Sikkim),WEST DISTRICT,Kharif     ,Maize,13000,18190
सिक्किम (Sikkim),EAST DISTRICT,Kharif     ,Rice,4940,8670
सिक्किम (Sikkim),WEST DISTRICT,Kharif     ,Other Kharif pulses,310,310
सिक्किम (Sikkim),EAST DISTRICT,Kharif     ,Small millets,840,832
सिक्किम (Sikkim),EAST DISTRICT,Kharif     ,Maize,8550,25300
सिक्किम (Sikkim),SOUTH DISTRICT,Kharif     ,Oilseeds total,40,20
सिक्किम (Sikkim),EAST DISTRICT,Rabi       ,Other Cereals & Millets,1720,1610
तमिलनाडु (Tamil Nadu),DINDIGUL,Whole Year ,Bitter Gourd,151,0
तमिलनाडु (Tamil Nadu),TIRUVANNAMALAI,Whole Year ,Turmeric,259,1580
तमिलनाडु (Tamil Nadu),TIRUCHIRAPPALLI,Kharif     ,Horse-gram,1983,841
तमिलनाडु (Tamil Nadu),TIRUCHIRAPPALLI,Kharif     ,Groundnut,27074,39109
तमिलनाडु (Tamil Nadu),VILLUPURAM,Whole Year ,Sweet potato,178,2410
तमिलनाडु (Tamil Nadu),THE NILGIRIS,Whole Year ,Dry chillies,22,11
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Rabi       ,Gram,110,54
तमिलनाडु (Tamil Nadu),TUTICORIN,Whole Year ,Sugarcane,562,60924
तमिलनाडु (Tamil Nadu),KANNIYAKUMARI,Whole Year ,Arecanut,761,
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Whole Year ,Sesamum,2521,391
तमिलनाडु (Tamil Nadu),THIRUVARUR,Whole Year ,Sesamum,1420,367
तमिलनाडु (Tamil Nadu),TUTICORIN,Whole Year ,Sugarcane,219,26892
तमिलनाडु (Tamil Nadu),CUDDALORE,Kharif     ,Maize,3950,7589
तमिलनाडु (Tamil Nadu),DINDIGUL,Whole Year ,Tapioca,640,24103
तमिलनाडु (Tamil Nadu),NAMAKKAL,Whole Year ,Banana,1523,53876
तमिलनाडु (Tamil Nadu),TIRUCHIRAPPALLI,Whole Year ,Coriander,683,159
तमिलनाडु (Tamil Nadu),TIRUVANNAMALAI,Whole Year ,Beans & Mutter(Vegetable),168,0
तमिलनाडु (Tamil Nadu),MADURAI,Kharif     ,Rice,70996,234492
तमिलनाडु (Tamil Nadu),RAMANATHAPURAM,Kharif     ,Maize,13,15
तमिलनाडु (Tamil Nadu),DINDIGUL,Rabi       ,Potato,513,6207
तमिलनाडु (Tamil Nadu),SIVAGANGA,Kharif     ,Rice,80708,166959
तमिलनाडु (Tamil Nadu),DINDIGUL,Whole Year ,Gram,528,267
तमिलनाडु (Tamil Nadu),TUTICORIN,Kharif     ,Cotton(lint),9743,4400
तमिलनाडु (Tamil Nadu),TIRUVANNAMALAI,Kharif     ,Urad,5066,2533
तमिलनाडु (Tamil Nadu),VELLORE,Kharif     ,Cotton(lint),6125,16476
तमिलनाडु (Tamil Nadu),COIMBATORE,Kharif     ,Sunflower,453,482
तमिलनाडु (Tamil Nadu),THENI,Kharif     ,Bajra,4860,4137
तमिलनाडु (Tamil Nadu),TIRUVANNAMALAI,Whole Year ,Arhar/Tur,985,392
तमिलनाडु (Tamil Nadu),VILLUPURAM,Whole Year ,Other Vegetables,324,0
तमिलनाडु (Tamil Nadu),NAMAKKAL,Kharif     ,Other Kharif pulses,3210,645
तमिलनाडु (Tamil Nadu),THENI,Kharif     ,Groundnut,1917,4222
तमिलनाडु (Tamil Nadu),DHARMAPURI,Whole Year ,Ragi,18232,37470
तमिलनाडु (Tamil Nadu),NAMAKKAL,Whole Year ,Turmeric,2436,12774
तमिलनाडु (Tamil Nadu),COIMBATORE,Kharif     ,Urad,987,526
तमिलनाडु (Tamil Nadu),KARUR,Kharif     ,Horse-gram,1884,1063
तमिलनाडु (Tamil Nadu),RAMANATHAPURAM,Whole Year ,Bajra,720,800
तमिलनाडु (Tamil Nadu),SALEM,Whole Year ,Arhar/Tur,2963,2690
तमिलनाडु (Tamil Nadu),CUDDALORE,Whole Year ,Horse-gram,3,2
तमिलनाडु (Tamil Nadu),PUDUKKOTTAI,Kharif     ,Moong(Green Gram),111,47
तमिलनाडु (Tamil Nadu),NAGAPATTINAM,Whole Year ,Cashewnut,503,152
तमिलनाडु (Tamil Nadu),COIMBATORE,Whole Year ,Dry chillies,1410,724
तमिलनाडु (Tamil Nadu),NAGAPATTINAM,Whole Year ,Cashewnut,1856,488
तमिलनाडु (Tamil Nadu),TUTICORIN,Whole Year ,Onion,1744,10095
तमिलनाडु (Tamil Nadu),ARIYALUR,Whole Year ,Small millets,259,705
तमिलनाडु (Tamil Nadu),NAGAPATTINAM,Whole Year ,Coconut ,4241,604
तमिलनाडु (Tamil Nadu),THE NILGIRIS,Whole Year ,Sugarcane,11,1211
तमिलनाडु (Tamil Nadu),KARUR,Whole Year ,Sunflower,5596,11222
तमिलनाडु (Tamil Nadu),KARUR,Kharif     ,Cotton(lint),490,850
तमिलनाडु (Tamil Nadu),PERAMBALUR,Kharif     ,Castor seed,157,53
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Whole Year ,Cashewnut,4,1
तमिलनाडु (Tamil Nadu),KRISHNAGIRI,Whole Year ,Tapioca,429,9089
तमिलनाडु (Tamil Nadu),TIRUNELVELI,Kharif     ,Other Kharif pulses,2195,421
तमिलनाडु (Tamil Nadu),DINDIGUL,Kharif     ,Maize,7330,43858
तमिलनाडु (Tamil Nadu),VELLORE,Whole Year ,Pineapple,1,31
तमिलनाडु (Tamil Nadu),KRISHNAGIRI,Whole Year ,Sweet potato,6,80
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Whole Year ,Sugarcane,4438,439668
तमिलनाडु (Tamil Nadu),KARUR,Whole Year ,Cashewnut,30,17
तमिलनाडु (Tamil Nadu),THIRUVARUR,Whole Year ,Onion,1,13
तमिलनाडु (Tamil Nadu),DHARMAPURI,Whole Year ,Urad,1428,371
तमिलनाडु (Tamil Nadu),PERAMBALUR,Whole Year ,Coriander,6021,1535
तमिलनाडु (Tamil Nadu),TIRUNELVELI,Whole Year ,Turmeric,6,22
तमिलनाडु (Tamil Nadu),THIRUVARUR,Rabi       ,Urad,58178,60610
तमिलनाडु (Tamil Nadu),PERAMBALUR,Kharif     ,Groundnut,29026,42530
तमिलनाडु (Tamil Nadu),PUDUKKOTTAI,Kharif     ,Castor seed,5,1
तमिलनाडु (Tamil Nadu),MADURAI,Rabi       ,Gram,88,58
तमिलनाडु (Tamil Nadu),KANCHIPURAM,Kharif     ,Moong(Green Gram),309,132
तमिलनाडु (Tamil Nadu),THENI,Whole Year ,Coriander,73,22
तमिलनाडु (Tamil Nadu),TUTICORIN,Kharif     ,Horse-gram,11,3
तमिलनाडु (Tamil Nadu),RAMANATHAPURAM,Whole Year ,Gram,8,4
तमिलनाडु (Tamil Nadu),ERODE,Whole Year ,Maize,14703,86706
तमिलनाडु (Tamil Nadu),MADURAI,Whole Year ,Sweet potato,38,461
तमिलनाडु (Tamil Nadu),KARUR,Kharif     ,Rice,10907,44073
तमिलनाडु (Tamil Nadu),VELLORE,Kharif     ,Bajra,3437,3487
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Kharif     ,Groundnut,10763,14233
तमिलनाडु (Tamil Nadu),VIRUDHUNAGAR,Kharif     ,Jowar,3635,8393
तमिलनाडु (Tamil Nadu),NAGAPATTINAM,Kharif     ,Sesamum,1359,544
तमिलनाडु (Tamil Nadu),VILLUPURAM,Whole Year ,Banana,1151,49489
तमिलनाडु (Tamil Nadu),DHARMAPURI,Whole Year ,Pulses total,65383,31970
तमिलनाडु (Tamil Nadu),TUTICORIN,Whole Year ,Tapioca,6,219
तमिलनाडु (Tamil Nadu),ERODE,Whole Year ,Sannhamp,1397,1018
तमिलनाडु (Tamil Nadu),PERAMBALUR,Whole Year ,Onion,6027,53208
तमिलनाडु (Tamil Nadu),VELLORE,Kharif     ,Cotton(lint),7725,18118
तमिलनाडु (Tamil Nadu),DINDIGUL,Whole Year ,Castor seed,345,140
तमिलनाडु (Tamil Nadu),THENI,Whole Year ,Black pepper,64,19
तमिलनाडु (Tamil Nadu),NAGAPATTINAM,Kharif     ,Urad,50281,23280
तमिलनाडु (Tamil Nadu),THE NILGIRIS,Whole Year ,Turmeric,31,169
तमिलनाडु (Tamil Nadu),DHARMAPURI,Whole Year ,Arhar/Tur,4282,3731
तमिलनाडु (Tamil Nadu),SALEM,Kharif     ,Rice,13585,43645
तमिलनाडु (Tamil Nadu),VELLORE,Whole Year ,Mango,12553,96174
तमिलनाडु (Tamil Nadu),SIVAGANGA,Whole Year ,Cotton(lint),133,309
तमिलनाडु (Tamil Nadu),NAMAKKAL,Kharif     ,Rice,24167,83225
तमिलनाडु (Tamil Nadu),ERODE,Kharif     ,Moong(Green Gram),4535,2584
तमिलनाडु (Tamil Nadu),PERAMBALUR,Whole Year ,Onion,5063,29107
तमिलनाडु (Tamil Nadu),TIRUNELVELI,Whole Year ,Horse-gram,97,43
तमिलनाडु (Tamil Nadu),CUDDALORE,Kharif     ,Rice,127843,447523
तमिलनाडु (Tamil Nadu),TUTICORIN,Whole Year ,Cashewnut,824,298
तमिलनाडु (Tamil Nadu),THIRUVALLUR,Whole Year ,Banana,710,29489
तमिलनाडु (Tamil Nadu),ERODE,Whole Year ,Sugarcane,31227,2832977
तमिलनाडु (Tamil Nadu),ARIYALUR,Kharif     ,Rice,24097,97257
तमिलनाडु (Tamil Nadu),KARUR,Whole Year ,Drum Stick,824,0
तमिलनाडु (Tamil Nadu),VILLUPURAM,Whole Year ,Pome Fruit,474,2480
तमिलनाडु (Tamil Nadu),DINDIGUL,Rabi       ,Groundnut,8070,39834
तमिलनाडु (Tamil Nadu),THIRUVARUR,Whole Year ,Sugarcane,846,91711
तमिलनाडु (Tamil Nadu),THENI,Whole Year ,Tobacco,29,64
तमिलनाडु (Tamil Nadu),NAMAKKAL,Whole Year ,Pome Granet,65,0
तमिलनाडु (Tamil Nadu),VILLUPURAM,Whole Year ,Tapioca,6483,201269
तमिलनाडु (Tamil Nadu),PUDUKKOTTAI,Whole Year ,Sugarcane,2377,2552000
तेलंगाना (Telangana),WARANGAL,Kharif     ,Arhar/Tur,32800,11700
तेलंगाना (Telangana),WARANGAL,Kharif     ,Maize,44333,163810
तेलंगाना (Telangana),WARANGAL,Rabi       ,Other  Rabi pulses,2254,654
तेलंगाना (Telangana),WARANGAL,Kharif     ,Dry chillies,15000,40000
तेलंगाना (Telangana),MAHBUBNAGAR,Rabi       ,Groundnut,91063,186588
तेलंगाना (Telangana),KHAMMAM,Rabi       ,Maize,13000,80000
तेलंगाना (Telangana),KARIMNAGAR,Rabi       ,Bajra,599,375
तेलंगाना (Telangana),KHAMMAM,Kharif     ,Maize,17588,46045
तेलंगाना (Telangana),MEDAK,Rabi       ,Jowar,35786,27806
तेलंगाना (Telangana),NALGONDA,Rabi       ,Jowar,10027,2597
तेलंगाना (Telangana),KARIMNAGAR,Kharif     ,Jowar,37,39
तेलंगाना (Telangana),RANGAREDDI,Rabi       ,Rice,14360,34605
तेलंगाना (Telangana),MEDAK,Rabi       ,Gram,19800,2400
तेलंगाना (Telangana),MEDAK,Rabi       ,Rapeseed &Mustard,47,28
तेलंगाना (Telangana),NALGONDA,Kharif     ,Castor seed,475,84
तेलंगाना (Telangana),NALGONDA,Kharif     ,other oilseeds,119,1499
तेलंगाना (Telangana),WARANGAL,Kharif     ,Mesta,28,238
तेलंगाना (Telangana),RANGAREDDI,Rabi       ,Groundnut,6895,13935
तेलंगाना (Telangana),MEDAK,Whole Year ,Garlic,276,
तेलंगाना (Telangana),KHAMMAM,Rabi       ,Rice,11949,34891
तेलंगाना (Telangana),MAHBUBNAGAR,Kharif     ,Other Kharif pulses,881,161
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Kharif     ,Arhar/Tur,38393,13284
तेलंगाना (Telangana),MAHBUBNAGAR,Kharif     ,Dry chillies,9500,11800
तेलंगाना (Telangana),MEDAK,Rabi       ,Horse-gram,554,158
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Rabi       ,Safflower,333,214
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Rabi       ,Linseed,4133,752
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Kharif     ,Sesamum,2690,627
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Rabi       ,Maize,13614,43156
तेलंगाना (Telangana),MEDAK,Kharif     ,Ragi,2,2
तेलंगाना (Telangana),NIZAMABAD,Rabi       ,Jowar,6663,5644
तेलंगाना (Telangana),NALGONDA,Rabi       ,Gram,520,708
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Rabi       ,Maize,12874,52050
तेलंगाना (Telangana),KARIMNAGAR,Kharif     ,Soyabean,1460,2488
तेलंगाना (Telangana),KARIMNAGAR,Kharif     ,Arhar/Tur,16818,11436
तेलंगाना (Telangana),KARIMNAGAR,Whole Year ,Turmeric,17873,124021
तेलंगाना (Telangana),MEDAK,Kharif     ,Arhar/Tur,25186,6372
तेलंगाना (Telangana),NALGONDA,Rabi       ,Groundnut,16060,16269
तेलंगाना (Telangana),MEDAK,Rabi       ,Gram,19747,13033
तेलंगाना (Telangana),MEDAK,Kharif     ,Ragi,5,6
तेलंगाना (Telangana),KHAMMAM,Kharif     ,Moong(Green Gram),23222,10868
तेलंगाना (Telangana),WARANGAL,Kharif     ,Dry chillies,14980,31773
तेलंगाना (Telangana),MAHBUBNAGAR,Kharif     ,Sunflower,1831,1571
तेलंगाना (Telangana),आदिलाबाद (ADILABAD),Rabi       ,Cowpea(Lobia),79,78
त्रिपुरा (Tripura),WEST त्रिपुरा (Tripura),Rabi       ,Groundnut,50,48
त्रिपुरा (Tripura),GOMATI,Kharif     ,Rice,37021,107326
त्रिपुरा (Tripura),NORTH त्रिपुरा (Tripura),Kharif     ,Arhar/Tur,984,708
त्रिपुरा (Tripura),NORTH त्रिपुरा (Tripura),Rabi       ,Peas & beans (Pulses),153,129
त्रिपुरा (Tripura),SOUTH त्रिपुरा (Tripura),Rabi       ,Peas & beans (Pulses),313,252
त्रिपुरा (Tripura),NORTH त्रिपुरा (Tripura),Kharif     ,Cotton(lint),404,549
त्रिपुरा (Tripura),KHOWAI,Kharif     ,Rice,23381,67131
त्रिपुरा (Tripura),WEST त्रिपुरा (Tripura),Rabi       ,Groundnut,70,80
त्रिपुरा (Tripura),WEST त्रिपुरा (Tripura),Whole Year ,Oilseeds total,1147,784
उत्तर प्रदेश (Uttar Pradesh),AMROHA,Kharif     ,Sweet potato,96,1310
उत्तर प्रदेश (Uttar Pradesh),SITAPUR,Kharif     ,Bajra,3016,1558
उत्तर प्रदेश (Uttar Pradesh),BAHRAICH,Kharif     ,Small millets,151,64
उत्तर प्रदेश (Uttar Pradesh),SANT KABEER NAGAR,Kharif     ,Arhar/Tur,3270,2070
उत्तर प्रदेश (Uttar Pradesh),KUSHI NAGAR,Kharif     ,Groundnut,458,562
उत्तर प्रदेश (Uttar Pradesh),GONDA,Kharif     ,Bajra,125,217
उत्तर प्रदेश (Uttar Pradesh),MAU,Summer     ,Onion,112,860
उत्तर प्रदेश (Uttar Pradesh),SONBHADRA,Whole Year ,Sannhamp,148,54
उत्तर प्रदेश (Uttar Pradesh),HAMIRPUR,Kharif     ,Bajra,626,712
उत्तर प्रदेश (Uttar Pradesh),LALITPUR,Kharif     ,Rice,3485,1049
उत्तर प्रदेश (Uttar Pradesh),HATHRAS,Rabi       ,Coriander,40,23
उत्तर प्रदेश (Uttar Pradesh),MEERUT,Kharif     ,Sesamum,4,1
उत्तर प्रदेश (Uttar Pradesh),GHAZIPUR,Summer     ,Urad,745,396
उत्तर प्रदेश (Uttar Pradesh),KANPUR NAGAR,Rabi       ,Rapeseed &Mustard,13937,11126
उत्तर प्रदेश (Uttar Pradesh),BAREILLY,Whole Year ,Peas & beans (Pulses),1737,3141
उत्तर प्रदेश (Uttar Pradesh),BAGHPAT,Summer     ,Onion,36,419
उत्तर प्रदेश (Uttar Pradesh),BALLIA,Kharif     ,Maize,11061,1349
उत्तर प्रदेश (Uttar Pradesh),ETAH,Kharif     ,Sesamum,354,57
उत्तर प्रदेश (Uttar Pradesh),KANPUR DEHAT,Whole Year ,Dry chillies,150,142
उत्तर प्रदेश (Uttar Pradesh),CHANDAULI,Rabi       ,Linseed,501,290
उत्तर प्रदेश (Uttar Pradesh),HAMIRPUR,Kharif     ,Soyabean,13,16
उत्तर प्रदेश (Uttar Pradesh),GORAKHPUR,Rabi       ,Masoor,3867,2684
उत्तर प्रदेश (Uttar Pradesh),LUCKNOW,Rabi       ,Linseed,50,18
उत्तर प्रदेश (Uttar Pradesh),BUDAUN,Whole Year ,Garlic,307,1330
उत्तर प्रदेश (Uttar Pradesh),BASTI,Rabi       ,Rapeseed &Mustard,2458,2497
उत्तर प्रदेश (Uttar Pradesh),AURAIYA,Rabi       ,Wheat,104354,398006
उत्तर प्रदेश (Uttar Pradesh),GHAZIABAD,Rabi       ,Garlic,6,32
उत्तर प्रदेश (Uttar Pradesh),CHANDAULI,Kharif     ,Jowar,373,455
उत्तर प्रदेश (Uttar Pradesh),JHANSI,Rabi       ,Rapeseed &Mustard,3471,2798
उत्तर प्रदेश (Uttar Pradesh),SITAPUR,Rabi       ,Turmeric,58,168
उत्तर प्रदेश (Uttar Pradesh),SULTANPUR,Kharif     ,Sesamum,536,56
उत्तर प्रदेश (Uttar Pradesh),अम्बेडकर नगर (AMBEDKAR NAGAR),Whole Year ,Onion,124,1600
उत्तर प्रदेश (Uttar Pradesh),FATEHPUR,Rabi       ,Onion,881,10327
उत्तर प्रदेश (Uttar Pradesh),BAREILLY,Kharif     ,Rice,145203,324384
उत्तर प्रदेश (Uttar Pradesh),BIJNOR,Kharif     ,Sunflower,7,12
उत्तर प्रदेश (Uttar Pradesh),KANPUR NAGAR,Rabi       ,Rapeseed &Mustard,14896,19777
उत्तर प्रदेश (Uttar Pradesh),DEORIA,Kharif     ,Groundnut,2157,1963
उत्तर प्रदेश (Uttar Pradesh),SONBHADRA,Rabi       ,Wheat,57853,135887
उत्तर प्रदेश (Uttar Pradesh),KANPUR NAGAR,Rabi       ,Turmeric,1,3
उत्तर प्रदेश (Uttar Pradesh),BARABANKI,Rabi       ,Tobacco,9,46
उत्तर प्रदेश (Uttar Pradesh),SITAPUR,Rabi       ,Barley,565,1419
उत्तर प्रदेश (Uttar Pradesh),BAREILLY,Kharif     ,Groundnut,554,838
उत्तर प्रदेश (Uttar Pradesh),LUCKNOW,Summer     ,Moong(Green Gram),33,10
उत्तर प्रदेश (Uttar Pradesh),AZAMGARH,Summer     ,Moong(Green Gram),156,115
उत्तर प्रदेश (Uttar Pradesh),AZAMGARH,Kharif     ,Sunflower,1,2
उत्तर प्रदेश (Uttar Pradesh),AMROHA,Whole Year ,Sweet potato,85,1112
उत्तर प्रदेश (Uttar Pradesh),RAE BARELI,Whole Year ,Turmeric,3,6
उत्तर प्रदेश (Uttar Pradesh),GONDA,Rabi       ,Peas & beans (Pulses),2916,3397
उत्तर प्रदेश (Uttar Pradesh),SANT RAVIDAS NAGAR,Whole Year ,Potato,1136,28016
उत्तर प्रदेश (Uttar Pradesh),SAHARANPUR,Kharif     ,Sugarcane,140825,8715378
उत्तर प्रदेश (Uttar Pradesh),SANT RAVIDAS NAGAR,Kharif     ,Bajra,9037,9220
उत्तर प्रदेश (Uttar Pradesh),VARANASI,Kharif     ,Guar seed,54,44
उत्तर प्रदेश (Uttar Pradesh),BALRAMPUR,Rabi       ,Onion,37,681
उत्तर प्रदेश (Uttar Pradesh),KANPUR DEHAT,Rabi       ,Onion,296,6809
उत्तर प्रदेश (Uttar Pradesh),BALLIA,Summer     ,Small millets,41,57
उत्तर प्रदेश (Uttar Pradesh),UNNAO,Kharif     ,Moong(Green Gram),2057,179
उत्तर प्रदेश (Uttar Pradesh),KASGANJ,Summer     ,Moong(Green Gram),797,722
उत्तर प्रदेश (Uttar Pradesh),KANPUR DEHAT,Whole Year ,Tobacco,1,4
उत्तर प्रदेश (Uttar Pradesh),SIDDHARTH NAGAR,Kharif     ,Rice,149112,156394
उत्तर प्रदेश (Uttar Pradesh),BAGHPAT,Kharif     ,Cotton(lint),78,13
उत्तर प्रदेश (Uttar Pradesh),BAREILLY,Rabi       ,Wheat,182990,450186
उत्तर प्रदेश (Uttar Pradesh),BAREILLY,Summer     ,Moong(Green Gram),3,2
उत्तर प्रदेश (Uttar Pradesh),इलाहाबाद (ALLAHABAD),Rabi       ,Rapeseed &Mustard,1185,1121
उत्तर प्रदेश (Uttar Pradesh),GHAZIPUR,Rabi       ,Potato,7262,184186
उत्तर प्रदेश (Uttar Pradesh),KANPUR DEHAT,Rabi       ,Linseed,7,3
उत्तर प्रदेश (Uttar Pradesh),JHANSI,Rabi       ,Coriander,66,37
उत्तर प्रदेश (Uttar Pradesh),KANPUR DEHAT,Rabi       ,Wheat,116802,377903
उत्तर प्रदेश (Uttar Pradesh),KASGANJ,Rabi       ,Wheat,94515,278914
उत्तर प्रदेश (Uttar Pradesh),GHAZIPUR,Kharif     ,Bajra,14986,11002
उत्तर प्रदेश (Uttar Pradesh),PILIBHIT,Rabi       ,Turmeric,10,32
उत्तर प्रदेश (Uttar Pradesh),ETAWAH,Rabi       ,Barley,3255,7729
उत्तर प्रदेश (Uttar Pradesh),SAHARANPUR,Kharif     ,Maize,7205,8574
उत्तर प्रदेश (Uttar Pradesh),PRATAPGARH,Kharif     ,Groundnut,1,1
उत्तर प्रदेश (Uttar Pradesh),GHAZIPUR,Rabi       ,Masoor,10135,8980
उत्तर प्रदेश (Uttar Pradesh),MAHARAJGANJ,Kharif     ,Arhar/Tur,396,269
उत्तर प्रदेश (Uttar Pradesh),KANNAUJ,Kharif     ,Sannhamp,53,17
उत्तर प्रदेश (Uttar Pradesh),BARABANKI,Rabi       ,Turmeric,3,10
उत्तर प्रदेश (Uttar Pradesh),FAIZABAD,Rabi       ,Linseed,11,5
उत्तर प्रदेश (Uttar Pradesh),CHITRAKOOT,Rabi       ,Barley,5621,8986
उत्तर प्रदेश (Uttar Pradesh),BIJNOR,Rabi       ,Wheat,111940,341193
उत्तर प्रदेश (Uttar Pradesh),PILIBHIT,Rabi       ,Potato,489,8516
उत्तर प्रदेश (Uttar Pradesh),GONDA,Rabi       ,Gram,3388,2553
उत्तर प्रदेश (Uttar Pradesh),आगरा (AGRA),Kharif     ,Sweet potato,155,2087
उत्तर प्रदेश (Uttar Pradesh),HATHRAS,Rabi       ,Gram,8,7
उत्तर प्रदेश (Uttar Pradesh),FATEHPUR,Kharif     ,Urad,7744,3493
उत्तर प्रदेश (Uttar Pradesh),BAHRAICH,Rabi       ,Potato,2302,50269
उत्तर प्रदेश (Uttar Pradesh),HATHRAS,Kharif     ,Bajra,36688,80604
उत्तर प्रदेश (Uttar Pradesh),BASTI,Rabi       ,Potato,2659,58434
उत्तर प्रदेश (Uttar Pradesh),PILIBHIT,Summer     ,Sunflower,9,17
उत्तर प्रदेश (Uttar Pradesh),UNNAO,Kharif     ,Moong(Green Gram),2828,1168
उत्तर प्रदेश (Uttar Pradesh),PRATAPGARH,Whole Year ,Sannhamp,408,149
उत्तर प्रदेश (Uttar Pradesh),GORAKHPUR,Kharif     ,Maize,4019,2039
उत्तर प्रदेश (Uttar Pradesh),SITAPUR,Kharif     ,Urad,8073,2293
उत्तर प्रदेश (Uttar Pradesh),VARANASI,Rabi       ,Potato,3237,55612
